Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
CHEVROLET Spark Activ	1.4	4	Man-5	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LGMXV01.4050	small car	5	29	37	32	7	Yes
CHEVROLET Spark Activ	1.4	4	Man-5	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LGMXV01.4050	small car	5	29	37	32	7	Yes
CHRYSLER Pacifica Hybrid	3.6	6	CVT	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LCRXT03.65P6	minivan	7	29/87	30/76	30/82	10	Elite
CHRYSLER Pacifica Hybrid	3.6	6	CVT	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LCRXT03.65P6	minivan	7	29/87	30/76	30/82	10	Elite
FORD Escape	1.5	3	Auto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXT01.52X1	small SUV	7	27	33	30	7	Yes
FORD Escape	1.5	3	Auto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXT01.52X1	small SUV	7	27	33	30	7	Yes
FORD Escape HEV	2.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXT02.52F1	small SUV	7	44	37	41	9	Yes
FORD Escape HEV	2.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXT02.52F1	small SUV	7	44	37	41	9	Yes
FORD Escape HEV	2.5	4	CVT	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXT02.52F1	small SUV	7	43	37	40	9	Yes
FORD Escape HEV	2.5	4	CVT	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXT02.52F1	small SUV	7	43	37	40	9	Yes
FORD Escape PHEV	2.5	4	CVT	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LFMXT02.52P1	small SUV	7	43/114	38/91	41/102	10	Elite
FORD Escape PHEV	2.5	4	CVT	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LFMXT02.52P1	small SUV	7	43/114	38/91	41/102	10	Elite
